BoM Name,Level,Product Reference,Product Name,Quantity,Unit of Measure,BoM Reference
,> > > > > ,EL-MS0141,[EL-MS0141] Term Ring Non Ins 26-22AWG #4  Order Bulk Only,1,PCE,
,> > > > > ,EL-MS0362,[EL-MS0362] 24 AWG 6.0mm Pin Length Single Wire - Insulated Ferrule,2,PCE,
,> > > > > ,EL-WR0099,[EL-WR0099] Shielded 22AWG UL2464 4 COND,13,cm,
,> > > > > ,EL-WR0103,[EL-WR0103] 24AWG Stranded – Red,20,cm,
,> > > > > ,EL-WR0104,[EL-WR0104] 24AWG Stranded – Orange,26,cm,
,> > > > > ,EL-WR0105,[EL-WR0105] 24AWG Stranded – Black,10,cm,
,> > > > > ,PC-CN0001,[PC-CN0001]  Molex-Conn Housing 2POS .100 W/Latch,1,PCE,
,> > > > > ,PC-CN0032,[PC-CN0032] Term Block Plug 2POS STR 5.08MM,1,PCE,
,> > > > ,EL-HR0177,"[EL-HR0177] TAZ Workhorse, CB Y End-Stop Harness",1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0059,[EL-MS0059] Molex-CONN TERM FEMALE 22-24AWG TIN Reels of 20K,4,PCE,
,> > > > > ,EL-MS0141,[EL-MS0141] Term Ring Non Ins 26-22AWG #4  Order Bulk Only,1,PCE,
,> > > > > ,EL-MS0329,"[EL-MS0329] TVS Diode – 1500W, 5V Reverse Standoff, 6V Breakdown, 9.4V Clamp, 200A Surge",1,PCE,
,> > > > > ,EL-MS0416,"[EL-MS0416] Solder Sleeve B155-9002, Clear 0.105"" one step",1,PCE,
,> > > > > ,EL-WR0120,[EL-WR0120] 24AWG Stranded Wire – Purple,67,cm,
,> > > > > ,PC-CN0003,[PC-CN0003] Molex - CONN HOUSING 3POS .100 W/LATCH,2,PCE,
,> > > > ,EL-HR0178,"[EL-HR0178] TAZ Workhorse, Extruder Harness",1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0205,[EL-MS0205] Molex-CONN TERM MALE 22-24AWG TIN - Reels of 20K,14,PCE,
,> > > > > ,EL-MS0479,[EL-MS0479] CONN TERM FEMALE 20-24AWG TIN (Micro-Fit 3.0™) 12K REEL,13,PCE,
,> > > > > ,EL-WR0099,[EL-WR0099] Shielded 22AWG UL2464 4 COND,102,cm,
,> > > > > ,EL-WR0103,[EL-WR0103] 24AWG Stranded – Red,204,cm,
,> > > > > ,EL-WR0104,[EL-WR0104] 24AWG Stranded – Orange,204,cm,
,> > > > > ,EL-WR0105,[EL-WR0105] 24AWG Stranded – Black,102,cm,
,> > > > > ,EL-WR0107,[EL-WR0107] 24AWG Stranded – White,102,cm,
,> > > > > ,EL-WR0109,[EL-WR0109] 24AWG Stranded – Yellow,102,cm,
,> > > > > ,EL-WR0111,[EL-WR0111] 24AWG Stranded – Blue,102,cm,
,> > > > > ,EL-WR0119,[EL-WR0119] 24AWG Stranded Wire – Green,102,cm,
,> > > > > ,EL-WR0157,"[EL-WR0157] SELF-WRAPPING BRAIDED SLEEVING - 1/4"" - BLACK - 200 FT SPOOL ",960,mm,
,> > > > > ,HD-TB0075,"[HD-TB0075] Heat-Shrink Tubing, 25 Feet Long, 0.38"" ID Before Shrinking",0.01,"ft, 25",
,> > > > > ,PC-CN0057,[PC-CN0057] Male 16 pin Molex Connector Housing,1,PCE,
,> > > > > ,PC-CN0099,[PC-CN0099] CONN RECEPT 20POS 3MM DUAL ROW,1,PCE,
,> > > > ,EL-HR0179,"[EL-HR0179] TAZ Workhorse, X Harness",1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0141,[EL-MS0141] Term Ring Non Ins 26-22AWG #4  Order Bulk Only,1,PCE,
,> > > > > ,EL-MS0142,[EL-MS0142] Conn Recept Faston 22-26AWG .110 - Reel of 3K,2,PCE,
,> > > > > ,EL-MS0205,[EL-MS0205] Molex-CONN TERM MALE 22-24AWG TIN - Reels of 20K,7,PCE,
,> > > > > ,EL-MS0247,"[EL-MS0247] Heat Shrink Tubing – 0.19-0.09 – Black, 100'",125,mm,
,> > > > > ,EL-MS0351,"[EL-MS0351] JST - CONN TERM CRIMP PH 24-30AWG - 8,000 Unit Reel",4,PCE,
,> > > > > ,EL-MS0355,[EL-MS0355] CONN HOUSING PH 6POS 2MM WHITE,1,PCE,
,> > > > > ,EL-WR0099,[EL-WR0099] Shielded 22AWG UL2464 4 COND,40,cm,
,> > > > > ,EL-WR0107,[EL-WR0107] 24AWG Stranded – White,70,cm,
,> > > > > ,EL-WR0157,"[EL-WR0157] SELF-WRAPPING BRAIDED SLEEVING - 1/4"" - BLACK - 200 FT SPOOL ",270,mm,
,> > > > > ,HD-TB0075,"[HD-TB0075] Heat-Shrink Tubing, 25 Feet Long, 0.38"" ID Before Shrinking",0.01,"ft, 25",
,> > > > > ,PC-CN0059,[PC-CN0059] Male 10 pin Molex Connector Housing,1,PCE,
,> > > > ,EL-HR0180,"[EL-HR0180] TAZ Workhorse, Y Bed Harness",1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0059,[EL-MS0059] Molex-CONN TERM FEMALE 22-24AWG TIN Reels of 20K,5,PCE,
,> > > > > ,EL-MS0205,[EL-MS0205] Molex-CONN TERM MALE 22-24AWG TIN - Reels of 20K,5,PCE,
,> > > > > ,EL-MS0247,"[EL-MS0247] Heat Shrink Tubing – 0.19-0.09 – Black, 100'",20,mm,
,> > > > > ,EL-WR0099,[EL-WR0099] Shielded 22AWG UL2464 4 COND,45,cm,
,> > > > > ,EL-WR0157,"[EL-WR0157] SELF-WRAPPING BRAIDED SLEEVING - 1/4"" - BLACK - 200 FT SPOOL ",430,mm,
,> > > > > ,HD-TB0075,"[HD-TB0075] Heat-Shrink Tubing, 25 Feet Long, 0.38"" ID Before Shrinking",0.01,"ft, 25",
,> > > > > ,PC-CN0001,[PC-CN0001]  Molex-Conn Housing 2POS .100 W/Latch,1,PCE,
,> > > > > ,PC-CN0003,[PC-CN0003] Molex - CONN HOUSING 3POS .100 W/LATCH,1,PCE,
,> > > > > ,PC-CN0119,[PC-CN0119] CONN HOUSING MALE 6POS .100,1,PCE,
,> > > > ,EL-HR0181,"[EL-HR0181] TAZ Workhorse, YZ End Harness",1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0141,[EL-MS0141] Term Ring Non Ins 26-22AWG #4  Order Bulk Only,2,PCE,
,> > > > > ,EL-MS0205,[EL-MS0205] Molex-CONN TERM MALE 22-24AWG TIN - Reels of 20K,20,PCE,
,> > > > > ,EL-MS0247,"[EL-MS0247] Heat Shrink Tubing – 0.19-0.09 – Black, 100'",205,mm,
,> > > > > ,EL-MS0351,"[EL-MS0351] JST - CONN TERM CRIMP PH 24-30AWG - 8,000 Unit Reel",12,PCE,
,> > > > > ,EL-MS0355,[EL-MS0355] CONN HOUSING PH 6POS 2MM WHITE,3,PCE,
,> > > > > ,EL-WR0099,[EL-WR0099] Shielded 22AWG UL2464 4 COND,147,cm,
,> > > > > ,EL-WR0105,[EL-WR0105] 24AWG Stranded – Black,100,cm,
,> > > > > ,EL-WR0157,"[EL-WR0157] SELF-WRAPPING BRAIDED SLEEVING - 1/4"" - BLACK - 200 FT SPOOL ",1350,mm,
,> > > > > ,HD-TB0075,"[HD-TB0075] Heat-Shrink Tubing, 25 Feet Long, 0.38"" ID Before Shrinking",0.03,"ft, 25",
,> > > > > ,PC-CN0050,[PC-CN0050] CONN HOUSING MALE 3POS .100,2,PCE,
,> > > > > ,PC-CN0057,[PC-CN0057] Male 16 pin Molex Connector Housing,1,PCE,
,> > > > ,EL-HR0183,"[EL-HR0183] TAZ Workhorse, CB YZ Harness",1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0059,[EL-MS0059] Molex-CONN TERM FEMALE 22-24AWG TIN Reels of 20K,27,PCE,
,> > > > > ,EL-MS0062,[EL-MS0062] MOLEX-CONN HOUSING 4POS .100 W/LATCH,3,PCE,
,> > > > > ,EL-MS0141,[EL-MS0141] Term Ring Non Ins 26-22AWG #4  Order Bulk Only,3,PCE,
,> > > > > ,EL-MS0247,"[EL-MS0247] Heat Shrink Tubing – 0.19-0.09 – Black, 100'",25,mm,
,> > > > > ,EL-MS0434,"[EL-MS0434] Heat Shrink Tubing – 0.19-0.09 – Red, 250'",25,mm,
,> > > > > ,EL-WR0099,[EL-WR0099] Shielded 22AWG UL2464 4 COND,75,cm,
,> > > > > ,EL-WR0105,[EL-WR0105] 24AWG Stranded – Black,60,cm,
,> > > > > ,PC-CN0058,[PC-CN0058] Female 16 pin Molex connector housing,1,PCE,
,> > > > ,EL-HR0184,"[EL-HR0184] TAZ Workhorse, CB Bed Harness",1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0059,[EL-MS0059] Molex-CONN TERM FEMALE 22-24AWG TIN Reels of 20K,8,PCE,
,> > > > > ,EL-MS0062,[EL-MS0062] MOLEX-CONN HOUSING 4POS .100 W/LATCH,1,PCE,
,> > > > > ,EL-MS0141,[EL-MS0141] Term Ring Non Ins 26-22AWG #4  Order Bulk Only,1,PCE,
,> > > > > ,EL-MS0247,"[EL-MS0247] Heat Shrink Tubing – 0.19-0.09 – Black, 100'",55,mm,
,> > > > > ,EL-MS0329,"[EL-MS0329] TVS Diode – 1500W, 5V Reverse Standoff, 6V Breakdown, 9.4V Clamp, 200A Surge",1,PCE,
,> > > > > ,EL-MS0416,"[EL-MS0416] Solder Sleeve B155-9002, Clear 0.105"" one step",1,PCE,
,> > > > > ,EL-MS0540,[EL-MS0540] Ferrite Core277 OHM Hinged,1,PCE,
,> > > > > ,EL-WR0103,[EL-WR0103] 24AWG Stranded – Red,38,cm,
,> > > > > ,EL-WR0109,[EL-WR0109] 24AWG Stranded – Yellow,56,cm,
,> > > > > ,PC-CN0001,[PC-CN0001]  Molex-Conn Housing 2POS .100 W/Latch,1,PCE,
,> > > > > ,PC-CN0003,[PC-CN0003] Molex - CONN HOUSING 3POS .100 W/LATCH,1,PCE,
,> > > > ,EL-HR0185,"[EL-HR0185] TAZ Workhorse, CB Z Endstop Harness, Assembled",1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0059,[EL-MS0059] Molex-CONN TERM FEMALE 22-24AWG TIN Reels of 20K,4,PCE,
,> > > > > ,EL-MS0141,[EL-MS0141] Term Ring Non Ins 26-22AWG #4  Order Bulk Only,1,PCE,
,> > > > > ,EL-MS0329,"[EL-MS0329] TVS Diode – 1500W, 5V Reverse Standoff, 6V Breakdown, 9.4V Clamp, 200A Surge",1,PCE,
,> > > > > ,EL-MS0416,"[EL-MS0416] Solder Sleeve B155-9002, Clear 0.105"" one step",1,PCE,
,> > > > > ,EL-WR0107,[EL-WR0107] 24AWG Stranded – White,67,cm,
,> > > > > ,PC-CN0001,[PC-CN0001]  Molex-Conn Housing 2POS .100 W/Latch,1,PCE,
,> > > > > ,PC-CN0003,[PC-CN0003] Molex - CONN HOUSING 3POS .100 W/LATCH,1,PCE,
,> > > > ,EL-MS0144,"[EL-MS0144] Connector Accessories, Sealing Cap, Shell Size 17",1,PCE,T8023 7/16/2019
,> > > > ,EL-MS0346,[EL-MS0346] MOD PWR ENTRY INLET W/FUSE 6A - IEC C14 Receptacle – AC Filter 6A 250VAC,1,PCE,T8023 7/16/2019
,> > > > ,EL-MS0347,[EL-MS0347] Fuse Ceramic 6.3A 250VAC 5X20MM,2,PCE,T8023 7/16/2019
,> > > > ,EL-MS0560,"[EL-MS0560] Conductive Copper Foil Electrical Tape Conductive Adhesive, 3/4"" Wide, 18 Ft ",10,mm,T8023 7/16/2019
,> > > > ,EL-PS0031,"[EL-PS0031] AC-DC POWER SUPPLY, Enclosed with Fan, 500 W, Single Output, 24 V@21 A ",1,PCE,T8023 7/16/2019
,> > > > ,EL-SW0023,"[EL-SW0023] SWITCH ROCKER DPST 20A 250V, Illuminated Red",1,PCE,T8023 7/16/2019
,> > > > ,HD-BT0053,"[HD-BT0053] 18-8 Stainless Steel Flat Head Phillips Machine Screw, Black-Oxide Finish, 4-40 Thread, 1/4"" Length",4,PCE,T8023 7/16/2019
,> > > > ,HD-BT0054,"[HD-BT0054] Metric Class 12.9 Socket Head Cap Screw, Alloy Steel, M2.5 Thread, 12MM Length, 0.45MM Pitch",4,PCE,T8023 7/16/2019
,> > > > ,HD-BT0104,"[HD-BT0104] M3 x 8 Bolt, BHCS, SST ",4,PCE,T8023 7/16/2019
,> > > > ,HD-BT0116,"[HD-BT0116] Black Alloy Steel Flat-Head Socket Cap Screw, Class 10.9, M3 Size, 10mm Length, .50mm Pitch",2,PCE,T8023 7/16/2019
,> > > > ,HD-BT0137,"[HD-BT0137] M3 x 8 Bolt, BHCS, Black-Oxide",5,PCE,T8023 7/16/2019
,> > > > ,HD-BT0140,"[HD-BT0140] M3 x 6 Bolt, BHCS Black-Oxide",14,PCE,T8023 7/16/2019
,> > > > ,HD-BT0155,"[HD-BT0155] Black Alloy Steel Flat-Head Socket Cap Screw, Class 10.9, M4 Size, 6mm Length, .70mm Pitch",5,PCE,T8023 7/16/2019
,> > > > ,HD-BT0171,"[HD-BT0171] Black Oxide Class 10.9 Steel Button-Head Socket Cap Screw M3 Size, 20 mm Length, .5 mm Pitch, pkg 100 ",4,PCE,T8023 7/16/2019
,> > > > ,HD-BT0234,"[HD-BT0234] 316 Stainless Steel, Button Head - M3 x 0.5mm Thread, 10mm Long",1,PCE,T8023 7/16/2019
,> > > > ,HD-MS0058,"[HD-MS0058] Wire Tie, 8"" Black, pk 1000",9,PCE,T8023 7/16/2019
,> > > > ,HD-MS0336,"[HD-MS0336] Black Adhesive-Back Bumper, Square, Polyurethane, 3/4"" Wide, 1/4"" High",2,PCE,T8023 7/16/2019
,> > > > ,HD-NT0001,"[HD-NT0001] Metric Zinc-Plated Steel Nylon-Insert Locknut, Class 8, M3 Screw sz, .5MM pitch, 5.5MM W, 4MM H",6,PCE,T8023 7/16/2019
,> > > > ,HD-WA0013,"[HD-WA0013] Steel Flat Washer, DIN 125 Zinc-Plated Class 4, M2.5 screw sz, 6MM OD, .45MM-.55MM thick",4,PCE,T8023 7/16/2019
,> > > > ,HD-WA0035,"[HD-WA0035] Metric 18-8 Stainless Steel External Serrated Lock Washer, M3 Screw Size, 6mm OD, 0.4mm min Thick",3,PCE,T8023 7/16/2019
,> > > > ,HD-WA0038,"[HD-WA0038] Black-Oxide 18-8 Steel Flat Washer, M3 Screw Size, 3.2mm ID, 7.0mm OD",23,PCE,T8023 7/16/2019
,> > > > ,PC-BD0094,[PC-BD0094] RAMBo Electronics v1.4L Assembled Board Only,1,PCE,T8023 7/16/2019
,> > > > ,PC-AS0041,[PC-AS0041] Plastic Laser Cut LCD Cover ,1,PCE,T8023 7/16/2019
,> > > > ,PP-FP0153,"[PP-FP0153] TAZ Interconnect Cover, Quiver",1,PCE,T8023 7/16/2019
,> > > > ,PP-FP0172,"[PP-FP0172] TAZ Redgum, TAZ6 Electronics Chassis w/ Redgum Graphics",1,PCE,T8023 7/16/2019
,> > > > ,PP-FP0173,"[PP-FP0173] TAZ Redgum, TAZ6 Electronics Chassis Cover w/ Redgum Graphics",1,PCE,T8023 7/16/2019
,> > > > ,PP-GP0438,"[PP-GP0438] Interconnect Housing, Black, Workhorse",1,PCE,T8023 7/16/2019
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0185,"Reel, 5lb",
,> > > > ,EL-FA0061,[EL-FA0061]  CB Case Fan Assembly ,1,PCE,T8023 7/16/2019
,,,,,,
,> > > > > ,EL-FA0033,[EL-FA0033] Pelonis FAN 24V 80x80x15mm Low flow,1,PCE,
,> > > > > ,EL-MS0059,[EL-MS0059] Molex-CONN TERM FEMALE 22-24AWG TIN Reels of 20K,2,PCE,
,> > > > > ,PC-CN0001,[PC-CN0001]  Molex-Conn Housing 2POS .100 W/Latch,1,PCE,
,> > > > ,EL-HR0148,"[EL-HR0148] CB Bed Power Harness, Assembled",1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0008,"[EL-MS0008] Anderson-Heavy Duty Power Connectors HOUSING ONLY, BLACK-BULK POWERPOLE 15/45",2,PCE,
,> > > > > ,EL-WR0123,[EL-WR0123] 16AWG Stranded Wire – White,60,cm,
,> > > > > ,EL-MS0010,[EL-MS0010] Heavy Duty Power Connectors POWERPOLE 15A CONT,2,PCE,
,> > > > > ,EL-MS0361,[EL-MS0361] 16 AWG 6.0mm Pin Length Power Phase Black Single Wire - Insulated Ferrule ,2,PCE,
,> > > > > ,PC-CN0032,[PC-CN0032] Term Block Plug 2POS STR 5.08MM,1,PCE,
,> > > > > ,EL-MS0332,[EL-MS0332] Ferrite Cable Cores 220ohms 100MHz 5mm I.D.,1,PCE,
,> > > > > ,EL-MS0356,"[EL-MS0356] Heat Shrink Dual Tubing 1/2"" for 5mm ID 11mm OD Ferrite, Black 4FT",55,cm,
,> > > > ,EL-HR0157,"[EL-HR0157] CB Switch to PSU Harness, Assembled",1,PCE,T8023 7/16/2019
,,,,,,
,> > > > > ,EL-MS0143,[EL-MS0143] Conn Fast Receptacle14-16 AWG .250 - REEL of 2200 Units,2,PCE,
,> > > > > ,EL-MS0247,"[EL-MS0247] Heat Shrink Tubing – 0.19-0.09 – Black, 100'",50,mm,
,> > > > > ,EL-MS0497,[EL-MS0497] CONN SPADE TERM 16-22AWG #6 RED,2,PCE,
,> > > > > ,EL-WR0123,[EL-WR0123] 16AWG Stranded Wire – White,43.5,cm,
,> > > > > ,EL-WR0121,[EL-WR0121] 16AWG Stranded Wire – Black,43.5,cm,
,> > > > ,EL-HR0168,[EL-HR0168] Plug to switch black and white with ferrite,1,PCE,T8023 7/16/2019
,,,,,,
,> > > > > ,EL-MS0143,[EL-MS0143] Conn Fast Receptacle14-16 AWG .250 - REEL of 2200 Units,4,PCE,
,> > > > > ,EL-MS0332,[EL-MS0332] Ferrite Cable Cores 220ohms 100MHz 5mm I.D.,1,PCE,
,> > > > > ,EL-MS0356,"[EL-MS0356] Heat Shrink Dual Tubing 1/2"" for 5mm ID 11mm OD Ferrite, Black 4FT",5.5,cm,
,> > > > > ,EL-WR0121,[EL-WR0121] 16AWG Stranded Wire – Black,45.5,cm,
,> > > > > ,EL-WR0123,[EL-WR0123] 16AWG Stranded Wire – White,45.5,cm,
,> > > > ,PP-IS0116,"[PP-IS0116] Y Cable Mount with Inserts, Workhorse",1,PCE,T8023 7/16/2019
,> > > > > ,HD-MS0158,"[HD-MS0158] Metric Brass Heat-Set Insert For Plastics Tapered, M5-.8 Internal Thread, 6.7mm Length",1,PCE,
,> > > > > ,PP-GP0440,"[PP-GP0440] Y Cable Mount, Black, Workhorse",1,PCE,
,> > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0049,"Reel, 5lb",
,> > > > ,HD-MS0249,"[HD-MS0249] UV-Resistant Cable Tie Holder, Adhesive Back/Screw Mount, 4-Way, for.18"" Maximum Tie, Black",6,PCE,T8023 7/16/2019
,> > > > ,PC-AS0056,[PC-AS0056] LCD LB_GLCD ,1,PCE,T8023 7/16/2019
,> > > > ,PP-GP0089,[PP-GP0089] LCD_spacer_v0.4,4,PCE,T8023 7/16/2019
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0029,"Reel, 5lb",
,> > > > ,PP-GP0230,[PP-GP0230] LCD_bezel,1,PCE,T8023 7/16/2019
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0049,"Reel, 5lb",
,> > > > ,PP-GP0235,[PP-GP0235] SD card bezel v0.8,1,PCE,T8023 7/16/2019
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0004,"Reel, 5lb",
,> > > > ,PP-GP0435,[PP-GP0435] Flexy LCD Knob,1,PCE,T8023 7/16/2019
,> > > > > ,RM-TE0002,"[RM-TE0002] Midnight NinjaFlex™ TPE Filament, 3mm, 0.75kg Fenner Drives",0.01,"Reel, 0.75kg",
,> > > ,AS-PR0166,"[AS-PR0166]  X Carriage Assembly, Workhorse",1,PCE,T8707 7/15/2019
,> > > > ,AS-PR0158,"[AS-PR0158] X Carriage Sub-assembly, Workhorse",1,PCE,T8707 7/15/2019
,> > > > > ,HD-BT0185,"[HD-BT0185] Black-Oxide Alloy Steel Socket Head Screw M3 x 0.5 mm Thread, 16 mm Long",1,PCE,
,> > > > > ,HD-BT0206,"[HD-BT0206] Black-Oxide Alloy Steel Hex Drive Flat Head Screw M3 x 0.5 mm Thread, 25 mm Long",1,PCE,
,> > > > > ,HD-NT0001,"[HD-NT0001] Metric Zinc-Plated Steel Nylon-Insert Locknut, Class 8, M3 Screw sz, .5MM pitch, 5.5MM W, 4MM H",3,PCE,
,> > > > > ,HD-MS0030,"[HD-MS0030] Metric Brass Heat-Set Tapered Insert, M3-.5 Internal Thread, 3.8mm Length",2,PCE,
,> > > > > ,AS-PR0154,"[AS-PR0154] X Carriage with Bushings, Workhorse",1,PCE,
,> > > > > > ,HD-BU0029,"[HD-BU0029] DryLin® R - Solid Precision Polymer Bearing RJMP-01, 12mm",1,PCE,
,> > > > > > ,PP-GP0392,[PP-GP0392] 12mm Retaining Ring,1,PCE,
,> > > > > > > ,RM-AB0104,"[RM-AB0104] Chroma Strand ABS Filament, Lulzbot Green 2.85mm, 5 lb reel",0.0001,"Reel, 5lb",
,> > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0181,"Reel, 5lb",
,> > > > ,AS-PR0159,"[AS-PR0159] X Double Bearing Sub-assembly, Workhorse",1,PCE,T8707 7/15/2019
,> > > > > ,HD-MS0030,"[HD-MS0030] Metric Brass Heat-Set Tapered Insert, M3-.5 Internal Thread, 3.8mm Length",3,PCE,T8424 7/2/2019
,> > > > > ,HD-BT0206,"[HD-BT0206] Black-Oxide Alloy Steel Hex Drive Flat Head Screw M3 x 0.5 mm Thread, 25 mm Long",2,PCE,T8424 7/2/2019
,> > > > > ,HD-NT0001,"[HD-NT0001] Metric Zinc-Plated Steel Nylon-Insert Locknut, Class 8, M3 Screw sz, .5MM pitch, 5.5MM W, 4MM H",2,PCE,T8424 7/2/2019
,> > > > > ,AS-PR0155,"[AS-PR0155] X Double Bearing Holder with Bushings, Workhorse",1,PCE,T8424 7/2/2019
,> > > > > > ,HD-BU0029,"[HD-BU0029] DryLin® R - Solid Precision Polymer Bearing RJMP-01, 12mm",2,PCE,
,> > > > > > ,PP-GP0392,[PP-GP0392] 12mm Retaining Ring,2,PCE,
,> > > > > > > ,RM-AB0104,"[RM-AB0104] Chroma Strand ABS Filament, Lulzbot Green 2.85mm, 5 lb reel",0.0001,"Reel, 5lb",
,> > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0119,"Reel, 5lb",
,> > > > ,HD-BL0032,[HD-BL0032] 1164-2P-06-2MR-1164-06 / GT 3 Single Sided Neoprene Belt - 1164mm by 6mm ,1,PCE,T8707 7/15/2019
,> > > > ,HD-BT0043,"[HD-BT0043] Metric Class 12.9 Socket Head Cap Screw, Alloy Steel, M3 Thread, 35MM Length, 0.50MM Pitch",2,PCE,T8707 7/15/2019
,> > > > ,HD-BT0137,"[HD-BT0137] M3 x 8 Bolt, BHCS, Black-Oxide",5,PCE,T8707 7/15/2019
,> > > > ,HD-BT0204,"[HD-BT0204] Black-Oxide Alloy Steel Hex Drive Flat Head Screw M3 x 0.5 mm Thread, 22 mm Long",2,PCE,T8707 7/15/2019
,> > > > ,HD-WA0038,"[HD-WA0038] Black-Oxide 18-8 Steel Flat Washer, M3 Screw Size, 3.2mm ID, 7.0mm OD",7,PCE,T8707 7/15/2019
,> > > > ,PP-GP0379,[PP-GP0379] X Tensioner Clamp,1,PCE,T8707 7/15/2019
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0003,"Reel, 5lb",
,> > > > ,PP-GP0465,"[PP-GP0465] Extruder Harness Cable Guide, Black",1,PCE,T8707 7/15/2019
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0023,"Reel, 5lb",
,> > > > ,PP-IS0117,"[PP-IS0117] X Carriage Cover with Inserts, Workhorse",1,PCE,T8707 7/15/2019
,> > > > > ,HD-MS0030,"[HD-MS0030] Metric Brass Heat-Set Tapered Insert, M3-.5 Internal Thread, 3.8mm Length",4,PCE,T8707 7/15/2019
,> > > > > ,PP-GP0443,"[PP-GP0443] X Carriage Cover, Black, Workhorse",1,PCE,T8707 7/15/2019
,> > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0181,"Reel, 5lb",
,> > > > ,PP-IS0102,[PP-IS0102] X-Belt Tensioner with Inserts,1,PCE,T8707 7/15/2019
,> > > > > ,HD-MS0030,"[HD-MS0030] Metric Brass Heat-Set Tapered Insert, M3-.5 Internal Thread, 3.8mm Length",2,PCE,
,> > > > > ,PP-GP0378,[PP-GP0378] X Belt Tensioner,1,PCE,
,> > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0013,"Reel, 5lb",
,> > > ,AS-PR0165,"[AS-PR0165] TAZ Workhorse, Final Frame Assembly",1,PCE,T8707 7/15/2019
,> > > > ,AS-PR0011,"[AS-PR0011] TAZ6, Tippy Feed Tube Holder with Bushing Assembly",1,PCE,T8299 6/28/2019
,> > > > > ,PP-GP0218,[PP-GP0218] Tippy Feed tube holder v0.6,1,PCE,
,> > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.002,"Reel, 5lb",
,> > > > > ,HD-MS0062,"[HD-MS0062] Metric Aluminum Unthreaded Spacer, 8MM OD, 8MM Length, M5 Screw Size",1,PCE,
,> > > > ,AS-PR0130,[AS-PR0130] X-End Right Assembly,1,PCE,T8299 6/28/2019
,> > > > > ,AS-PR0127,[AS-PR0127] X-End Idler Assembly,1,PCE,
,> > > > > > ,HD-BT0012,[HD-BT0012] M3 Set Screw (Grub Screw),2,PCE,
,> > > > > > ,HD-BT0185,"[HD-BT0185] Black-Oxide Alloy Steel Socket Head Screw M3 x 0.5 mm Thread, 16 mm Long",2,PCE,
,> > > > > > ,HD-BT0196,"[HD-BT0196] Black-Oxide Alloy Steel Socket Head Screw M5 x 0.8 mm Thread, 25 mm Long",1,PCE,
,> > > > > > ,HD-MS0411,[HD-MS0411] 625-2RS Premium Two Side Rubber Sealed Bearing ABEC3,2,PCE,
,> > > > > > ,HD-NT0001,"[HD-NT0001] Metric Zinc-Plated Steel Nylon-Insert Locknut, Class 8, M3 Screw sz, .5MM pitch, 5.5MM W, 4MM H",2,PCE,
,> > > > > > ,HD-NT0057,[HD-NT0057] 18-8 Stainless Steel Nylon-Insert Locknut M5 x 0.8 mm Thread,1,PCE,
,> > > > > > ,HD-WA0038,"[HD-WA0038] Black-Oxide 18-8 Steel Flat Washer, M3 Screw Size, 3.2mm ID, 7.0mm OD",2,PCE,
,> > > > > > ,HD-WA0040,"[HD-WA0040] Black-Oxide 18-8 Stainless Steel Washer, M5 Size, 5.3mm ID, 10.0mm OD",2,PCE,
,> > > > > > ,AS-PR0126,[AS-PR0126] X-End Idler with Bushings,1,PCE,
,> > > > > > > ,PP-GP0393,[PP-GP0393] 10mm Retaining Ring,3,PCE,
