BoM Name,Level,Product Reference,Product Name,Quantity,Unit of Measure,BoM Reference
,> > > > ,RM-PL0118,"[RM-PL0118] PolyLite PLA LulzBot Green,  2.85mm 1kg Reel - Polymaker",0.01,"Reel, 1kg",
,> > > > ,RM-PL0121,"[RM-PL0121] PolyLite PLA True Black,  2.85mm 1kg Reel - Polymaker",0.01,"Reel, 1kg",
,> > > ,HD-BT0137,"[HD-BT0137] M3 x 8 Bolt, BHCS, Black-Oxide",2,PCE,T8835 printed plaque 7/22/2019
,> > ,AS-PR0157,"[AS-PR0157] Feed Tube Assembly, Workhorse",1,PCE,T8826 7/18/2019
,> > > ,HD-MS0058,"[HD-MS0058] Wire Tie, 8"" Black, pk 1000",1,PCE,
,> > > ,HD-TB0007,"[HD-TB0007] Feed Tube, 0.187 ID X .250 OD NAT PTFE Tube",80,cm,
,> > > ,PP-GP0219,[PP-GP0219] Feed tube spinner v3.0,1,PCE,
,> > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0024,"Reel, 5lb",
,> > ,AS-HB0006,"[AS-HB0006] TAZ Etched Modular Print Bed Heater, no felt",1,PCE,T8826 7/18/2019
,> > ,AS-HB0003,[AS-HB0003] TAZ Glass/PEI Print Surface,1,PCE,T8826 7/18/2019
,> > > ,HD-MS0349,"[HD-MS0349] PEI (10mil) with 3M 468 adhesive attached, heat-treated, TAZ",1,PCE,
,> > > > ,HD-MS0310,"[HD-MS0310] TAPE3M468MP.005X26.000X60YD .005"" THK 3M ADHESIVE 468MP 26"" WIDE X 60 YARDS",1024,cm²,
,> > > > ,HD-MS0311,[HD-MS0311] SULT1000NA.010X26.000X90FT - 0.010 X 26.000 WIDE X 90 FT NAT ULTEM 1000 FILM,1024,cm²,
,> > > ,HD-MS0002,"[HD-MS0002] Borosilicate Glass Bed 300mm x 300mm x 1/8""",1,PCE,
,> > ,AS-PR0167,"[AS-PR0167] TAZ Workhorse, Final Assembly",1,PCE,T8826 7/18/2019
,> > > ,AS-PR0163,"[AS-PR0163] Y-Axis Assembly, Workhorse",1,PCE,T8707 7/15/2019
,> > > > ,EL-MT0029,"[EL-MT0029] NEMA 17 Stepper Motor, Moons'  -  NOT INCLUDING wire harness",1,PCE,
,> > > > ,HD-BT0048,"[HD-BT0048] Metric Class 12.9 Socket Head Cap Screw Alloy Steel, M5 Thread, 10mm Length, 0.80mm Pitch",1,PCE,
,> > > > ,HD-BT0073,"[HD-BT0073] Class 10.9 Stl Button Head Socket Cap Screw M5 Size, 10 Mm Length, .8 Mm Pitch ",17,PCE,
,> > > > ,HD-BT0104,"[HD-BT0104] M3 x 8 Bolt, BHCS, SST ",2,PCE,
,> > > > ,HD-BT0128,"[HD-BT0128] M3 x 6 Bolt, FHCS Black-Oxide",4,PCE,
,> > > > ,HD-BT0148,"[HD-BT0148] Class 10.9 Steel Button-Head Socket Cap Screw, M3 Size, 10 mm Length, .5 mm Pitch",41,PCE,
,> > > > ,HD-EX0062,"[HD-EX0062] T-Slot Aluminum Frame TPW, Extrusion 20mm x 20mm x 500mm,Tapped M5x0.8 on Both Ends, Black (Ends free of anodize) ",2,PCE,
,> > > > ,HD-MS0033,"[HD-MS0033] GT2, 16 Teeth, timing pulley, AL",1,PCE,
,> > > > ,HD-MS0411,[HD-MS0411] 625-2RS Premium Two Side Rubber Sealed Bearing ABEC3,1,PCE,
,> > > > ,HD-NT0053,"[HD-NT0053] T-Slot Slide in T-nuts for Aluminum Frame, M5 ",8,PCE,
,> > > > ,HD-RD0018,"[HD-RD0018] 10mm Smooth Rod, Stainless Steel, 500mm",2,PCE,
,> > > > ,HD-WA0035,"[HD-WA0035] Metric 18-8 Stainless Steel External Serrated Lock Washer, M3 Screw Size, 6mm OD, 0.4mm min Thick",2,PCE,
,> > > > ,HD-WA0038,"[HD-WA0038] Black-Oxide 18-8 Steel Flat Washer, M3 Screw Size, 3.2mm ID, 7.0mm OD",39,PCE,
,> > > > ,AS-PR0153,"[AS-PR0153] Treated Wiper Pad, 25 x 90mm, Standard Mount",1,PCE,
,> > > > > ,HD-MS0531,"[HD-MS0531] Scotch-Brite, Light Cleansing Pad, 7445B - 9 x 6"", White",1,PCE,
,> > > > ,HD-WA0040,"[HD-WA0040] Black-Oxide 18-8 Stainless Steel Washer, M5 Size, 5.3mm ID, 10.0mm OD",17,PCE,
,> > > > ,PP-MP0216,"[PP-MP0216] Bed Plate, 6061",1,PCE,
,> > > > ,PP-MP0227,[PP-MP0227] XY Calibration Cube,1,PCE,
,> > > > ,PP-GP0238,[PP-GP0238] Flexy Bed Foot v0.1,4,PCE,
,> > > > > ,RM-TE0002,"[RM-TE0002] Midnight NinjaFlex™ TPE Filament, 3mm, 0.75kg Fenner Drives",0.01,"Reel, 0.75kg",
,> > > > ,PP-GP0369,[PP-GP0369] Y Belt Mount,1,PCE,
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0064,"Reel, 5lb",
,> > > > ,PP-GP0381,[PP-GP0381] Wiper Mount,1,PCE,
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0035,"Reel, 5lb",
,> > > > ,PP-GP0391,[PP-GP0391] Y Cable Cover,1,PCE,
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0112,"Reel, 5lb",
,> > > > ,PP-GP0395,[PP-GP0395] Bed Mount Table,4,PCE,
